Mes,Fecha,Calculo,Papa hf córdoba,Tomate redondo comercial,Tomate regondo 1ra,Tomate perita comercial,Tomate perita 1ra,Cebolla común,Zapallo anco,Zanahoria bs.x20,Zapallito,Pimiento rojo,Lechuga,Acelga,Choclo,Naranja jugo comercial,Naranja jugo 1ra,Banana Boliviana,Banana Ecuador,Manzana comercial,Manzana 1ra
Diciembre,4/12/2020,Promedio ,750.00,600.00,800.00,630.00,800.00,458.33,766.67,408.00,400.00,1285.71,295.00,135.00,710.00,691.67,920.00,1350.00,1620.00,2320.00,2966.67
Diciembre,4/12/2020,Mediana,750.00,550.00,800.00,600.00,800.00,450.00,800.00,440.00,400.00,1200.00,300.00,150.00,750.00,700.00,900.00,1300.00,1600.00,2300.00,2900.00
Enero,28/01/2021,Promedio ,520.00,800.00,1125.00,850.00,1275.00,650.00,450.00,350.00,400.00,990.00,414.29,150.00,607.14,1400.00,1616.67,1250.00,1633.33,2433.33,3025.00
Enero,28/01/2021,Mediana ,500.00,750.00,1200.00,800.00,1300.00,650.00,500.00,350.00,400.00,1000.00,400.00,150.00,600.00,1400.00,1650.00,1250.00,1600.00,2300.00,3000.00
Febrero,9/02/2021,Promedio,511.67,618.75,850.00,587.50,838.57,716.67,578.57,541.67,730.00,911.11,556.25,300.00,778.57,1300.00,1683.33,1075.00,1600.00,1920.00,2850.00
Febrero,9/02/2021,Mediana ,500.00,650.00,950.00,550.00,820.00,675.00,600.00,475.00,725.00,950.00,525.00,300.00,800.00,1400.00,1700.00,1050.00,1600.00,1600.00,2750.00
Marzo,30/03/2021,Promedio ,540.00,1025.00,1400.00,766.67,1012.50,666.67,385.71,435.00,530.00,1214.29,771.43,150.00,1080.00,1325.00,1633.33,1190.00,1900.00,1350.00,2260.00
Marzo,30/03/2021,Mediana ,550.00,1000.00,1300.00,800.00,1025.00,650.00,400.00,400.00,500.00,1200.00,800.00,150.00,1100.00,1300.00,1550.00,1200.00,1900.00,1200.00,2500.00
Abril,13/04/2021,Promedio ,558.33,840.00,1160.00,650.00,908.33,571.43,350.00,470.00,441.67,1216.67,716.67,112.50,962.50,1500.00,1966.67,1180.00,1900.00,1433.33,2325.00
Abril,13/04/2021,Mediana ,550.00,800.00,1100.00,600.00,825.00,600.00,325.00,400.00,425.00,1200.00,750.00,100.00,925.00,1500.00,2000.00,1200.00,1900.00,1500.00,2350.00
